;text;fallacy
0;We can't believe what he is saying because he had sex with a prostitute.;ad hominem
1;Of course he is opposed to rent control: he owns 6 apartment buildings himself!;ad hominem
2;Pay no attention to her arguments against abortion. I happen to know that she had three abortions herself!;ad hominem
3;You're saying that I should clean up my room? But you never clean up yours!;ad hominem
4;Don't believe anything you read in that newspaper!;ad hominem
5;I don't believe a word of what Hillary is saying. didn't her husband have sex in the White House?!;ad hominem
6;How can our leaders say they are going to war in Iraq to create a democracy there when they won't listen to the majority who are against this war?;ad hominem
7;You haven't held a steady job since 1992. Worse than that, we couldn't find a single employer who'd provide you with a good reference.;ad hominem
8;You've only ever lived in the city. The issues that matter to America's heartland are clearly beyond your comprehension.;ad hominem
9;People like you don't understand what it's like to grow up black in America. You have no right to argue about the gang violence on our streets.;ad hominem
10;You cheated and lied to your wife, but you expect the jury to believe you now?;ad hominem
11;Well, it's pretty obvious that your political party doesn't know how to be fiscally responsible, so I wouldn't expect you to be either.;ad hominem
12;Just look at that face! How could anyone vote for that?;ad hominem
13;Well, I think we need to look at Senator Smith's failures regarding this issue.;ad hominem
14;You don't even belong to a church. How can you claim to be a Christian?;ad hominem
15;The only reason you could possibly be in favor of this is because you're not being honest about your own sexuality.;ad hominem
16;Of course you would say that. You believe life begins at conception and have never studied alternative facts.;ad hominem
17;Perhaps if you weren't Mormon, you would see this quite differently.;ad hominem
18;You wouldn't understand since you have never had to struggle.;ad hominem
19;This is a female issue. As a man, how can you have an opinion about this?;ad hominem
20;You didn't even finish high school. How could you possibly know about this?;ad hominem
21;Well, it's not like you graduated from a good school, so I can see why you wouldn't know how to properly grade a writing assignment.;ad hominem
22;You're clearly just too young to understand.;ad hominem
23;How can you make a decision about someone having marital problems if you've never been married yourself?;ad hominem
24;You are from the United States, so you could never understand what it's like to live in a country like that.;ad hominem
25;Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.;ad hominem
26;Socrates' arguments about human excellence are rubbish. What could a man as ugly as he know about human excellence.;ad hominem
27;Yeah, I think everyone's opinion counts on moral matters like that, but that Lila sleeps around with anything. I know of at least one marriage she's broken up, so why should her opinion count on anything, much less morality?;ad hominem
28;Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.;ad hominem
29;We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.;ad hominem
30;There's no reason to take seriously Nietzsche's ideas about the Superman. Weak and sickly all his short life, of course he found this concept captivating. In psychology, we call this compensation.;ad hominem
31;I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite.;ad hominem
32;No, I will not reply. I see no need to defend my views against the objections of ignoramuses.;ad hominem
33;How can you argue your case for vegetarianism when you are enjoying that steak?;ad hominem
34;He's not a great athlete, he's a fraud, a cheat and a liar. That's why not everybody is ‘happy for Lance.';ad hominem
35;My opponent was (allegedly) wrong in the past, therefore he is wrong now.;ad hominem
36;My opponent was not decent in his arguments in the past, so now he is not either.;ad hominem
37;Now you tell me she looks presidential, folks. I look presidential.;ad hominem
38;That's what you'd expect someone like him to say.;ad hominem
39;She is for raising the minimum wage, but she is not smart enough to even run a business.;ad hominem
40;If you can't be loyal and support the way your government chooses to use taxes, then you should just leave the country and move somewhere else.;ad hominem
41;Well, you don't know anything about this field, so why should anyone listen to you?;ad hominem
42;You're not an economics professor, so there's not reason for me to listen to you.;ad hominem
43;You're a fascist, so clearly we shouldn't listen to what you have to say about education.;ad hominem
44;You're only saying that because you want to show support for the president that you voted for.;ad hominem
45;You clearly don't even care about public education, since you sent your own kids to a private school.;ad hominem
46;Well, the Nazis also thought that, so you're like the Nazis.;ad hominem
47;If you don't like it here, then you should just leave and go somewhere where they have the kind of education that you want.;ad hominem
48;I think that you're stupid and that nobody cares about your opinion.;ad hominem
49;What would you know about long-term relationships? You're not even married!;ad hominem
50;Sam asks the audience whether we should believe anything from a woman who isn't married, was once arrested, and smells a bit weird.;ad hominem
51;My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry's each night!;ad hominem
52;Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates.;ad hominem
53;Secretary of State John Kerry says that there is less violence than usual in the world right now. Meanwhile the Director of National Intelligence, James Clapper, says the opposite, that terrorism is more violent and dangerous than ever. Since Clapper is Director of National Intelligence, maybe Kerry should have the title Director of National Stupidity.;ad hominem
54;Excessive pride and envy have destroyed Jean-Jacques, my illustrious philosopher. That monster dares speak of education! He abandoned his children and the tramp with whom he made them.;ad hominem
55;What could you possibly know about this, you are an unemployed loser who spends all his time watching Netflix.;ad hominem
56;Friedrich Nietzsche was an ugly man who never married, you shouldn't take any of his ideas seriously.;ad hominem
57;Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.;appeal to authority
58;How do I know the adult film industry is the third largest industry in the United States? Derek Shlongmiester, the adult film star of over 50 years, said it was. That's how I know.;appeal to authority
59;Channeling the spirits of the dead is real, because John Edward says he can do it and he is an expert.;appeal to authority
60;My favorite actor, who appeared in a movie about AIDS, has testified that the HIV virus doesn't really cause AIDS and that there has been a cover-up. So, I think that AIDS must be caused by something other than HIV and the drug companies are hiding it so that they can make money from expensive anti-HIV drugs.;appeal to authority
61;According to government experts, the new nuclear storage facility poses no dangers.;appeal to authority
62;Environmental experts have demonstrated that global warming does not really exist.;appeal to authority
63;I know a chemist who is an expert in his field, and according to him evolution is nonsense.;appeal to authority
64;They say that crime is increasing because of a lax court system.;appeal to authority
65;If the Pope says that an aspect of doctrine is true, then it should be added to the creed, since he is infallible.;appeal to authority
66;The mayor said that the crime rate is down. The statistics claiming otherwise must be erroneous.;appeal to authority
67;Being a movie star gave me the motivation to develop this new diet, which is safer and more effective than conventional diets.;appeal to authority
68;Our new diet is endorsed by this famous movie star, who said that it is safer and more effective than conventional diets.;appeal to authority
69;I'm following this new diet, because my favorite movie star said that it's safer and more effective than conventional diets.;appeal to authority
70;They say that this new diet is safer and more effective than conventional diets, which is why I've decided to use it.;appeal to authority
71;As a movie star who won multiple Academy Awards and who's latest movie series made over a billion dollars in the US alone, I had a strong motivation to find a way to lose weight. That's why I developed this new diet, which is safer and more effective than conventional diets.;appeal to authority
72;I don't believe in the conventional diets that doctors and dietitians try to get you to use. I prefer this new diet, which my favorite movie star just said is safer and more effective.;appeal to authority
73;This diet is safer and more effective than conventional diets, because that's what my favorite movie star said.;appeal to authority
74;Albert Einstein, one of the smartest people ever, said that the best and healthiest breakfast is bacon and eggs, so it must be true.;appeal to authority
75;Climate change cannot be real because one environmental scientist, who has been studying climate change, says it is not real.;appeal to authority
76;Not able to defend his position that evolution 'isn't true' Bob says that he knows a scientist who also questions evolution (and presumably isn't a primate).;appeal to authority
77;Everyone is going to get the new smart phone when it comes out this weekend. Why aren't you?;bandwagon
78;I saw Cady Heron wearing army pants and flip-flops, so I bought army pants and flip-flops.;bandwagon
79;You believe that those who receive welfare should submit to a drug test, but your friends tell you that idea is crazy and they don't accept it. You decide to change your position based on their beliefs.;bandwagon
80;Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.;bandwagon
81;Marcus wants to go to a small community college close to home, but most of the kids in his class are applying to larger colleges out of state. Marcus decides that he should also apply to those colleges.;bandwagon
82;Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that this must be the healthy way to eat, so she joins them.;bandwagon
83;Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well.;bandwagon
84;Ian was raised in a Christian home. When Ian goes to college, many of the students do not believe in Jesus and do not attend church. Ian begins to doubt his faith because of his new friends' lack of faith.;bandwagon
85;During the obstacle course, Tanner believes that going left will get them out of the maze, but everyone else thinks they should go right. So, Tanner goes with the group.;bandwagon
86;"Commercial argues that ""everyone"" likes a specific brand of dessert.";bandwagon
87;Caroline eats a well-rounded diet and exercises on a regular basis. However, all of her friends at work are starting a low-carb diet that consists mostly of protein shakes. Her officemate tells Caroline about their plan and how they're going to all keep each other accountable, so she should join in. Caroline decides this must be the healthy thing to do so she agrees to do this special diet along with everyone else.;bandwagon
88;Because everyone else goes away to college, it must be the right thing to do.;bandwagon
89;Sarah believes social media is damaging to relationships. She prefers face-to-face interactions and thinks communication can be misunderstood through social media. However, because all of her friends have joined and talk to each other through this medium, Sarah has decided it must not be that bad and creates an account. ;bandwagon
90;Carling Lager, Britain's Number One Lager;bandwagon
91;"[Margaret] Mitchell enhanced the GWTW [Gone With the Wind] mystique by never publishing another novel. But who would be so churlish as to want more? Read it. Ten million (and counting) Americans can't be wrong, can they?""";bandwagon
92;Mcdonalds has served 100 billion people in the world. It must be the best fast food restaurant in the world.;bandwagon
93;Officer, I think I don't deserve a ticket: Everyone is going this speed, and if I went slower, I wouldn't be going with the stream of traffic.;bandwagon
94;There must be some truth to astrology since around 25% of adults in America believe in it. That many people can't be wrong!;bandwagon
95;It may be against the law to drink alcohol if you are under 18 years old, but almost everyone drinks anyway, so it must be fine.;bandwagon
96;There must be a God because people in every culture believe in a higher being.;bandwagon
97;Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.;false dilemma
98;You must be a Republican or Democrat. You are not a Democrat. Therefore, you must be a Republican.;false dilemma
99;Either support this bill or be unpatriotic.;false dilemma
100;Either buy this car or be unhappy. ;false dilemma
101;Either vote for this law or be a Nazi. ;false dilemma
102;Either support all forms of abortion or be against all forms. ;false dilemma
103;You must support dualism or materialism. ;false dilemma
104;Either absolutely prove your point or it is all relative. ;false dilemma
105;Strong artificial intelligence is possible now or never. ;false dilemma
106;The president is either a genius or an idiot. ;false dilemma
107;It is always wrong to lie or it is never wrong to lie.;false dilemma
108;We shouldn't prevent all citizens from owning guns. Hunters and gun collectors have a perfect right to own weapons. Therefore gun control laws of any kind are a bad idea.;false dilemma
